dataset,role,device,channel,peak_method,ignored_gate,policy,hrv_metric,n_total,noQC_n_valid,noQC_RMSSD_MAE,noQC_RMSSD_RMSE,noQC_RMSSD_R,noQC_RMSSD_bias,noQC_coverage_pct,noQC_SDNN_MAE,noQC_SDNN_R,QC_n_valid,QC_coverage_pct,QC_RMSSD_MAE,QC_RMSSD_R,QC_SDNN_MAE,QC_SDNN_R,coverage_gain_pctpt,rmssd_mae_change_ms,rmssd_r_change
synced_3device_rawaligned_training_v1_100hz_ecgibi100_sample90_ecgsample100_stride30,training_stride30,Ring,ppg_green,scipy_bp07_35_prom025_corr02,gate_sqi030_ibi080_corr020_cv030_rmssd200,v1_2_frozen_peak_methods_no_qc_training_stride30,RMSSD,17064,17064,20.215307330420224,26.99118441376546,0.3095237828114021,14.815673328060246,100.0,39.38595044903942,0.3663269248486644,6586,38.595874355368025,11.540167580024608,0.4952276035342908,10.626771326426349,0.7959756859423159,61.404125644631975,8.675139750395616,-0.1857038207228887
synced_3device_rawaligned_training_v1_100hz_ecgibi100_sample90_ecgsample100_stride30,training_stride30,Earring,ppg_green,scipy_bp05_40_prom025_corr02,gate_sqi030_ibi085_corr020_cv035_rmssd200,v1_2_frozen_peak_methods_no_qc_training_stride30,RMSSD,17064,17062,20.894818821000023,33.267223001727224,0.15151551657207568,-5.550204830216421,99.98827941865916,14.178600161861858,0.4833141716056998,14372,84.22409751523675,17.192614708290385,0.4138711426883976,6.024034656472611,0.9282702983920118,15.764181903422411,3.7022041127096372,-0.2623556261163219
synced_3device_rawaligned_training_v1_100hz_ecgibi100_sample90_ecgsample100_stride30,training_stride30,Earring,ppg_ir,scipy_bp05_40_prom025_corr02,gate_sqi050_ibi090_corr020_cv030_rmssd200,v1_2_frozen_peak_methods_no_qc_training_stride30,RMSSD,17064,16170,24.5056282344702,58.21725644694232,0.11191951494166184,4.740239291173748,94.76090014064698,23.853515792734534,0.33887316073236035,11328,66.38537271448664,15.348879477847465,0.4282076339716424,7.510836022183216,0.8515808197255247,28.375527426160346,9.156748756622736,-0.31628811902998055
synced_3device_rawaligned_training_v1_100hz_ecgibi100_sample90_ecgsample100_stride30,training_stride30,Ring,ppg_ir,scipy_bp07_35_prom025_corr02,gate_sqi050_ibi090_corr030_cv030_rmssd200,v1_2_frozen_peak_methods_no_qc_training_stride30,RMSSD,17064,17064,31.417028719322442,39.01505222141126,0.11142134063467794,29.204864384898855,100.0,69.2067931205642,0.23816568160558513,4050,23.73417721518987,14.41845167969992,0.3583224224961291,25.163088125823165,0.591502994760841,76.26582278481013,16.99857703962252,-0.24690108186145115
synced_3device_rawaligned_training_v1_100hz_ecgibi100_sample90_ecgsample100_stride30,training_stride30,Watch,ppg_green,scipy_bp07_35_prom025_corr02,gate_sqi030_ibi090_corr030_cv030_rmssd200,v1_2_frozen_peak_methods_no_qc_training_stride30,RMSSD,17064,17064,34.22106596587016,46.626070361579885,0.0425753104820552,32.964228893061545,100.0,69.84132580160296,0.17398746162295334,3848,22.55039849976559,14.049004917811498,0.3638603386989914,20.96132702162382,0.5805167870880317,77.44960150023441,20.172061048058662,-0.3212850282169362
synced_3device_rawaligned_training_v1_100hz_ecgibi100_sample90_ecgsample100_stride30,training_stride30,Watch,ppg_ir,scipy_bp07_35_prom025_corr03,gate_sqi050_ibi070_corr035_cv035_rmssd200,v1_2_frozen_peak_methods_no_qc_training_stride30,RMSSD,17064,17063,84.67580710534861,91.12631175890522,-0.06491504620848527,84.41770659671953,99.99413970932959,111.29788438559802,0.07478614970421141,3424,20.06563525550867,68.84893570583996,-0.1362317001217799,88.37761034456713,0.1559091817541146,79.92850445382092,15.826871399508647,0.07131665391329463
